0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:41:57 +0200] "GET /Proyect/datatables/Buttons-1.5.6/js/buttons.html5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:41:57 +0200] "GET /Proyect/datatables/datatables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:41:57 +0200] "GET /Proyect/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:41:57 +0200] "GET /Proyect/image/usuario.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:02 +0200] "GET /Proyect/servletUsuar?ejecutar=listar&incial= HTTP/1.1" 200 18721
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:02 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:03 +0200] "GET /Proyect/servletclient?ejecutarClientes=listar&incial= HTTP/1.1" 200 21188
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:03 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:05 +0200] "GET /Proyect/servletProduct?ejecutar=listar&incial= HTTP/1.1" 200 57583
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:05 +0200] "GET /Proyect/css/font-awesome.css HTTP/1.1" 200 37347
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:05 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:07 +0200] "GET /Proyect/servletpedido?ejecutar=listadoPedido&incial= HTTP/1.1" 200 13151
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:07 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:07 +0200] "GET /Proyect/js/detalleVenta.js HTTP/1.1" 200 4239
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:08 +0200] "GET /Proyect/servletpedido?ejecutar=listarNuevo HTTP/1.1" 302 -
